NUMERO DE ORDEM       @ANOMES@COD.NCM @DESCRICAO DO CODIGO NCM       @PAIS@PAIS DE ORIGEM      @PAIS@PAIS DE AQUISICAO   @UND.ESTAT.@UNIDADE DE MEDIDA   @UNIDADE COMERC.     @DESCRICAO DO PRODUTO                                                                                                                                                                                                                                      @QTDE ESTATISTICA   @PESO LIQUIDO       @VMLE DOLAR        @VL FRETE DOLAR    @VL SEGURO DOLAR   @VALOR UN.PROD.DOLAR  @QTD COMERCIAL. @TOT.UN.PROD.DOLAR    @UNIDADE DESEMBARQUE           @UNIDADE DESEMBARACO           @INCOTERM@NAT.INFORMACAO @SITUACAO DO DESPACHO               ,,,,,,,,,,,,,,,,,,,,,,,,,,
0000001131540001900001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@190@COREIA (DO SUL), REP@190@COREIA (DO SUL), REP@11@UNIDADE             @UNIDADE             @82401-1S010 - MOTOR ELETRICO DE CORRENTE CONTINUA COM ESPECIFICACOES DE MOTOR ELETRICO CC, 20 W, 12 V, 25A, 58-78 RPM, 7.7 NM, DESTI NADO A MONTAGEM NA PARTE INTERNA DA PORTA DIANTEIRA LATERAL ESQUERDA DA CARROCERIA DE VEICULOS AUTOMOVEIS DE PASSAGEI@           24,00000@           26,84400@            256,12@              8,74@              0,09@           10,9645268@       24,00000@          263,1486432@N/INFORMADO                   @PORTO DE SANTOS               @CFR@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,
0000001133290018800001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@767@SUICA               @023@ALEMANHA            @11@UNIDADE             @UNIDADE             @MOTOR ELETRICO 12VOLTS 35 WATTS DE CORRENTE CONTINUA DO ELEVADOR HIDRAULICO PARA TRATORES AGRICOLASGEP Fatura: 2003 005000 (REF.: AL181805)                                                                                                               @           38,00000@           42,40800@           8968,91@              8,67@              9,53@          236,2524540@       38,00000@         8977,5932520@N/INFORMADO                   @PORTO DE SANTOS               @CFR@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,,
0000001132440000600001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@399@JAPAO               @249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @2F5994 - MOTOR DC 12VOLTS 5 WATS DE CORRENTE CONTIUA, UTILIZADO PARA MOVIMENTAR O TRANSPORTE DO PAPEL DA IMPRESSORA TERMICA 8810                                                                                                                          @            7,00000@            0,65900@            196,30@             29,71@              0,00@           21,8200000@        1,00000@           21,8200000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,
0000001132440000600002@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@399@JAPAO               @249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @8F8834 - MOTOR DE TENSAO CONTINUA VOLTAGEM 24VDC, UTILIZADO PARA TRACAO DO PAPEL (PINCH MOTOR), PARA IMPRESSORAS TERMICAS 68XX,605, 7000.                                                                                                                @            7,00000@            0,65900@            196,30@             29,71@              0,00@           29,0800000@        6,00000@          174,4800000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,
0000001132010000300001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@249@ESTADOS UNIDOS      @249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @6100-0240 X TAL - MOTOR DE CORRENTE CONTINUA COM UM CRISTAL SOLDADO 6V,5W                                                                                                                                                                                 @            8,00000@            0,36000@           2400,00@             65,03@             48,64@          300,0000000@        8,00000@         2400,0000000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@EXW@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,
0000001132870000100001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@858@VIETNA              @249@ESTADOS UNIDOS      @11@UNIDADE             @PECAS               @2119.11 - Motor do atuador de espelho retrovisor eletrico - PA4286.                                                                                                                                                                                       @        77000,00000@         3465,00000@          54530,50@            304,92@              0,00@            0,7030000@    42000,00000@        29526,0000000@N/INFORMADO                   @PORTO DE SANTOS               @FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,,
0000001132870000100002@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@858@VIETNA              @249@ESTADOS UNIDOS      @11@UNIDADE             @PECAS               @2119.11 - Motor do atuador de espelho retrovisor eletrico - PA4286.                                                                                                                                                                                       @        77000,00000@         3465,00000@          54530,50@            304,92@              0,00@            0,7030000@    35000,00000@        24605,0000000@N/INFORMADO                   @PORTO DE SANTOS               @FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,,
0000001132490000700001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@267@FILIPINAS           @267@FILIPINAS           @11@UNIDADE             @Unidade             @Motor elétrico, com potência de 7,78 Watts, com tensão de 12/42 volts de corrente continua, e passo inferior ou igual a 1,8º, para uso em impressora (P/N: 217650100)                                                                                     @         4753,00000@          594,12526@           5890,31@            423,77@              3,12@            1,2300000@     4753,00000@         5846,1900000@N/INFORMADO                   @PORTO DE SANTOS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,
0000000036490005000001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@023@ALEMANHA            @023@ALEMANHA            @11@UNIDADE             @PEÇA                @0002954696 - DT- ATUADOR GIRATÓRIO MECÂNICO ERMO-16                                                                                                                                                                                                       @            2,00000@            4,21300@           1618,35@              9,86@              2,24@          809,1767863@        2,00000@         1618,3535726@N/INFORMADO                   @SAO PAULO                     @FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,,
0000000036130002200001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@628@REINO UNIDO         @628@REINO UNIDO         @11@UNIDADE             @UNIDADE             @T2R17282 - CONJUNTO DA MAQUINA DO VIDRO ESQUERDO PARA VEICULO DA POSICAO 8703 DO MODELO F-TYPE                                                                                                                                                            @            2,00000@            5,30000@            282,52@             28,65@              0,00@          138,7500000@        1,00000@          138,7500000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,,
0000000036130002200002@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@628@REINO UNIDO         @628@REINO UNIDO         @11@UNIDADE             @UNIDADE             @T2R17281 - CONJUNTO DA MAQUINA DO VIDRO DIREITO PARA VEICULO DA POSICAO 8703 DO MODELO F-TYPE                                                                                                                                                             @            2,00000@            5,30000@            282,52@             28,65@              0,00@          143,7700000@        1,00000@          143,7700000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,,
0000000036130002300001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@023@ALEMANHA            @628@REINO UNIDO         @11@UNIDADE             @UNIDADE             @T2H23527 - MOTOR DO LIMPADOR DO PARA-BRISA PARA VEICULO DA POSICAO 8703 DO MODELO XE / NEW XF                                                                                                                                                             @            1,00000@            2,74852@            120,67@             14,85@              0,00@          120,6700000@        1,00000@          120,6700000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,,
0000000034850000700001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@190@COREIA (DO SUL), REP@190@COREIA (DO SUL), REP@11@UNIDADE             @UNIDADE             @98100-D3000 - MOTOR ELETRICO DO LIMPADOR DO PARABRISA DE CORRENTE CONTINUA POTENCIA MENOR QUE 15 WATTS                                                                                                                                                    @          240,00000@          405,00000@           5005,16@            260,33@              0,00@           27,1800000@      120,00000@         3261,6000000@N/INFORMADO                   @ANAPOLIS                      @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000000034850000700002@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@190@COREIA (DO SUL), REP@190@COREIA (DO SUL), REP@11@UNIDADE             @UNIDADE             @98700-D3000 - MOTOR ELETRICO DO LIMPADOR DO VIDRO TRASEIRO DE CORRENTE CONTINUA POTENCIA MENOR QUE 15 WATTS                                                                                                                                               @          240,00000@          405,00000@           5005,16@            260,33@              0,00@           14,2200000@      120,00000@         1706,4000000@N/INFORMADO                   @ANAPOLIS                      @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000000037840000200001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@399@JAPAO               @11@UNIDADE             @Peça                @T1016434B Micro-motor elétrico de corrente continua - com rotação máxima de 2648rpm, corrente máxima de 3,856A e potencia máxima de 20,87W Tonex Modelo ACT-X3, 3 posições c/ alavanca integrada                                                          @         2250,00000@          219,07847@           4854,28@              4,80@              0,71@            2,1210000@     2250,00000@         4772,2500000@N/INFORMADO                   @PORTO DE SANTOS               @EXW@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,
0000000039020000300001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @UNIDADE             @MOTOR PARA MOVIMENTACAO DO ESPELHO RETROVISOR DECAMINHOES, FIXADOS EM SUPORTE DE PLASTICO, COM FIOSPARA CONEXAO, COM 24V DE TENSAO, ARTIGO 12001.01835,REF. MOTOR ACTUATOR TD-M007 24V RETROV MB AXOR                                                     @          500,00000@           70,00000@           2150,87@              8,38@              0,00@            4,3000000@      500,00000@         2150,0000000@PORTO DE RIO GRANDE           @PORTO DE RIO GRANDE           @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,
0000000038460001400001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@023@ALEMANHA            @023@ALEMANHA            @11@UNIDADE             @PECA                @Peça para Máquina Têxtil MOTOR DE ALIMENTAÇÃO, DE CORRENTE CONTINUA, DE PASSO DE 2 FASES, COM CILINDRO ALIMENTADOR DE AÇO, POTENCIA DE 10 W, CORRENTE IN: 0,5A, TENSAO DE 24VCC.                                                                          @          672,00000@          362,88000@          24039,72@           2476,02@              0,00@           35,7734101@      672,00000@        24039,7315872@N/INFORMADO                   @IRF - AEROPORTO INTERNACIONAL @FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,
0000000024450003500001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@190@COREIA (DO SUL), REP@190@COREIA (DO SUL), REP@11@UNIDADE             @UNIDADE             @98100-4F210 - MOTOR ELETRICO E BASE DO LIMPADOR DO PARA-BRISA DE CORRENTE CONTINUA POTENCIA MENOR QUE 15 WATTS                                                                                                                                            @          180,00000@           50,17814@           2699,34@             17,59@              0,00@           14,9300000@      180,00000@         2687,4000000@N/INFORMADO                   @ANAPOLIS                      @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000000023340000200001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@275@FRANCA              @275@FRANCA              @11@UNIDADE             @Unidade             @5864093 - ATUADOR ELETRICO DE CORRENTE CONTINUA, COM POTENCIA DE 14W, UTILIZADO N A FABRICACAO DE AERONAVES. D97L00-627 SERIAL NUMBER: K08520 / K08521 / K08522 / K09141                                                                                  @            4,00000@            2,28000@           7123,40@             35,72@              1,20@         1780,8500000@        4,00000@         7123,4000000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@FCA@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000000022430000700001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@767@SUICA               @249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @30013939 - MOTOR BAIXA POTENCIA DE CORRENTE CONTINUA UTILIZADO NA MOVIMENTACAO DO EIXO X DO LEITOR DE CODIGO DE BARRAS NO EQUIPAMENTO LINHA ABBOTT M2000 LOTE: 87558011 - QTDE:1,00000 - VALIDADE:07/07/2067                                              @            1,00000@            0,83000@           3913,20@              6,03@              0,00@         3913,2000000@        1,00000@         3913,2000000@N/INFORMADO                   @SAO PAULO                     @FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,
0000000021590000100001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PEÇA                @COD FORN HEATP-CPM700BR COD MCASSAB 4121271954 MOTOR COMPLETO COM RESISTÊNCIA CPM PARA PIPOQUEIRA MODELO CPM-700, MATERIAL : BAQUELITE , INOX E CERAMICA, MARCA CUISINART                                                                                 @           50,00000@           70,00000@           1065,86@             92,46@              0,12@           21,0000000@       50,00000@         1050,0000000@N/INFORMADO                   @ITAJAI                        @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,
0000000016580001600001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @MOTOR ELETRICO DE CORRENTE CONTINUA. **SUFRAMA**MOTOR ELETRICO DE CC, 30W, GRAU DE PASSO 2.2, PARA BRACO LIMPADOR DE PARA-BRISA P; VEICULO AUTOMOTOR PARA TRANSPORTE DE MERCADORIAS 3741010-02                                                            @           18,00000@            9,00000@            289,42@              6,24@              0,00@           16,4000000@       10,00000@          164,0000000@N/INFORMADO                   @PORTO DE MANAUS               @CFR@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,
0000000016580001600002@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @MOTOR ELETRICO DE CORRENTE CONTINUA. **SUFRAMA**motor eletrico de cc, 30W, GRAU DE PASSO 2.2, para braco limpador de para-brisa p/ veiculo automotor para transporte de mercadorias 3741010-02                                                            @           18,00000@            9,00000@            289,42@              6,24@              0,00@           16,4000000@        8,00000@          131,2000000@N/INFORMADO                   @PORTO DE MANAUS               @CFR@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,
0000000016560002400001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECAS               @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO 7.5 (POTENCIA: 5W) PN:1521240212 1521240212 1521240212                                                                                          @          360,00000@           13,32000@            221,22@              2,74@              0,11@            0,6130000@      360,00000@          220,6800000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,
0000000017390000200001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @UNIDADE             @MOTOR SWING PARA AR CONDICIONADO 12000, 1170020011                                                                                                                                                                                                        @          280,00000@           10,08000@           2134,65@              3,20@              0,00@            1,1600000@       30,00000@           34,8000000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000000017390000200002@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @UNIDADE             @MOTOR DO VENTILADOR INTERNO PARA AR CONDICIONADO 12000, 1170030047                                                                                                                                                                                        @          280,00000@           10,08000@           2134,65@              3,20@              0,00@            7,9600000@      150,00000@         1194,0000000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000000017390000200003@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @UNIDADE             @MOTOR SWING PARA AR CONDICIONADO 18000, 1170020041A                                                                                                                                                                                                       @          280,00000@           10,08000@           2134,65@              3,20@              0,00@            1,2000000@       20,00000@           24,0000000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000000017390000200004@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @UNIDADE             @MOTOR DO VENTILADOR INTERNO PARA AR CONDICIONADO 18000, 1170030065                                                                                                                                                                                        @          280,00000@           10,08000@           2134,65@              3,20@              0,00@           11,0200000@       80,00000@          881,6000000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001732710000300001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@827@TURQUIA             @386@ITALIA              @11@UNIDADE             @Unidade             @MOTOR LIMPADOR PARA-BRISA DE A¿O P/ MOVIMENTAR A PALHETA VEICULOS LEVES 1,100 KG (P/N: 00468166980)                                                                                                                                                       @          162,00000@          169,45200@           3265,75@             14,08@              1,96@           20,1371982@      161,00000@         3242,0889102@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,
0000001732710000300002@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@827@TURQUIA             @386@ITALIA              @11@UNIDADE             @Unidade             @MOTOR LIMPADOR PARA-BRISA DE A¿O P/ MOVIMENTAR A PALHETA VEICULOS LEVES 1,100 KG (P/N: 00468166980)                                                                                                                                                       @          162,00000@          169,45200@           3265,75@             14,08@              1,96@           20,1371982@        1,00000@           20,1371982@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,
0000001740410041400001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@275@FRANCA              @275@FRANCA              @11@UNIDADE             @UNIDADE             @9808505780 - Descricao: ELEVADOR VIDRO - Material Constitutivo: MOTOR ELETRICO DE CORRENTE CONTINUA, DE POTENCIA INFERIOR A 37,5W. NAO POSSUI PASSO - Funcao do material: MECANISMO DE ACIONAMENTO DE VI DROS DE PORTAS DE VEICULOS AUTOMOVEIS, ACIONADO E@            2,00000@            2,11800@             38,78@              0,30@              0,02@           19,3400000@        2,00000@           38,6800000@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000001740410029500001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@275@FRANCA              @275@FRANCA              @11@UNIDADE             @UNIDADE             @6447NQ - Descricao: MOTOREDUTOR - Material Constitutivo: MOTOR ELETRICO DE CORRENTE CONTINUA. POTENCIA: 12W. TENSAO: 12V. SEM PASSO - Funcao do material: MOTOR ELETRICO COM VARIADOR DE VELOCIDADE ACOP LADO UTILIZADO PARA APARELHO DE AR-CONDICIONADO -@            1,00000@            0,12800@             11,91@              0,01@              0,00@           11,8800000@        1,00000@           11,8800000@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,,
0000001737900000100001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@767@SUICA               @767@SUICA               @11@UNIDADE             @PEÇA                @HS532800068 Motor elétrico de corrente continua, com passo de até 18 graus e potência máxima de 3 watts, para aplicação em tacógrafo automotivo.                                                                                                          @         6048,00000@           85,76100@          27379,03@             17,52@              4,07@            4,4882288@     6048,00000@        27144,8077824@N/INFORMADO                   @PORTO DE SANTOS               @FCA@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001737400000100001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @X000602 - MOTOR DE PASSO, REF.: YB-D072 - 4861164AA                                                                                                                                                                                                       @          110,00000@           13,49000@            270,66@              0,71@              0,78@            2,0000000@       60,00000@          120,0000000@N/INFORMADO                   @PORTO DE SANTOS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000001737400000100002@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @X000605 - MOTOR DE PASSO, REF.: YB-D069 - 4626053                                                                                                                                                                                                         @          110,00000@           13,49000@            270,66@              0,71@              0,78@            3,0000000@       50,00000@          150,0000000@N/INFORMADO                   @PORTO DE SANTOS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000001737280000300001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@249@ESTADOS UNIDOS      @249@ESTADOS UNIDOS      @11@UNIDADE             @Peças               @MOTOR 24VOLTS CORRENTE CONTÍBU 1.2 WATTS DE POTENCIA. MOTOR UTILIZADO PARA REALIZAR A LAVAGEM DOS TUBOS DE REAÇÃO UTILIZADO NO EQUIPAMENTO IMMULITE2000. (P/N: 000000000010730557)                                                                        @            1,00000@            0,45000@            116,30@              3,53@              0,14@          119,8300000@        1,00000@          119,8300000@N/INFORMADO                   @JUNDIAI                       @CPT@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,,
0000001737060000200001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @UNIDADE             @13344 - PECAS DE REPOSICAO PARA ENSACADEIRA DE MOLAS, SENDO: SERVO MOTOR MHMD082P1U 0.75KW                                                                                                                                                                @            6,00000@           16,60000@           3160,00@            264,95@              0,00@          730,0000000@        2,00000@         1460,0000000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000001737060000200002@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @UNIDADE             @13345 - PECAS DE REPOSICAO PARA ENSACADEIRA DE MOLAS, SENDO: SERVO MOTOR BCH0802011A1C 750W                                                                                                                                                               @            6,00000@           16,60000@           3160,00@            264,95@              0,00@          500,0000000@        2,00000@         1000,0000000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000001737060000200003@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @UNIDADE             @18521 - PECAS DE REPOSICAO PARA ENSACADEIRA DE MOLAS, SENDO: SERVO MOTOR - DELTA ECMA-C20807RS                                                                                                                                                            @            6,00000@           16,60000@           3160,00@            264,95@              0,00@          350,0000000@        2,00000@          700,0000000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000000011380002300001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PCS                 @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO 7.5 (POTENCIA: 5W) PN:1521240212 1521240212 1521240212                                                                                          @          315,00000@           11,02500@            192,99@              2,69@              0,11@            0,6110159@      315,00000@          192,4700085@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,
0000000011530002600001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECAS               @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO 7.5 (POTENCIA: 5W) PN:1521240212 1521240212 1521240212                                                                                          @          480,00000@           17,76000@            330,45@              3,57@              0,19@            0,6870000@      480,00000@          329,7600000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,
0000000015680000500001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @25357353 - Ex 003 - Motor elétrico de corrente contínua, com rotação máxima de 2648 rpm, corrente máxima de 3,856 A e potência elétrica máxima de 20,87 W. (DA 1701896712-001-1)                                                                          @         2381,00000@          502,39100@           9001,05@              3,18@              1,48@            3,7610000@     2381,00000@         8954,9410000@N/INFORMADO                   @PIRACICABA                    @FCA@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,
0000000010530004800001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@399@JAPAO               @249@ESTADOS UNIDOS      @11@UNIDADE             @PECA                @FM2-2691-000 UNIDADE DO MOTOR DRIVE                                                                                                                                                                                                                       @           40,00000@            5,00000@            377,82@             38,65@              0,40@            6,5100000@        2,00000@           13,0200000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,,
0000000010530004800002@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@399@JAPAO               @249@ESTADOS UNIDOS      @11@UNIDADE             @PECA                @FK2-0813-000- MOTOR DC                                                                                                                                                                                                                                    @           40,00000@            5,00000@            377,82@             38,65@              0,40@            9,6000000@       38,00000@          364,8000000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,,
0000000010530001900004@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @PECA                @FK2-7677-000 - MOTOR DE PASSO                                                                                                                                                                                                                             @           10,00000@           10,00000@             73,02@             77,30@              0,07@            3,9700000@        4,00000@           15,8800000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,
